gene	go_function	is_correct	hyper-geometric p_value	pattern id	recurrence	dataset id list	connectivity	cluster_size	unknown_ratio	avg_degree	network_topo_score	network neighbors	network topology (edge_set)
ADAM10	cell adhesion	1	0.023585140678	111632	6.0	[2, 13, 22, 29, 35, 43]	0.8	5	0.2	3.2	0.789930555556	['ADAM10', 'SCARB2', 'IFNGR1', 'SS18', 'CD164']	[['ADAM10', 'SCARB2'], ['ADAM10', 'IFNGR1'], ['ADAM10', 'SS18'], ['ADAM10', 'CD164'], ['SCARB2', 'SS18'], ['SCARB2', 'CD164'], ['IFNGR1', 'CD164'], ['SS18', 'CD164']]
ADAM10	cellular lipid metabolism	0	0.0186650602252	1583	5.0	[14, 41, 42, 43, 44]	0.4	6	0.0	2.0	0.506172839506	['ACLY', 'ADAM10', 'CPD', 'SCD', 'G3BP2', 'SPTLC1']	[['ACLY', 'SCD'], ['ADAM10', 'CPD'], ['ADAM10', 'G3BP2'], ['ADAM10', 'SPTLC1'], ['SCD', 'G3BP2'], ['G3BP2', 'SPTLC1']]
ADAR	response to pest, pathogen or parasite	1	1.1947002836e-07	32631	5.0	[1, 13, 18, 55, 56]	0.733333333333	6	0.0	3.66666666667	1.54277777778	['ADAR', 'G1P3', 'IFI27', 'IFI35', 'CCL5', 'STAT1']	[['ADAR', 'IFI27'], ['ADAR', 'IFI35'], ['ADAR', 'STAT1'], ['G1P3', 'IFI27'], ['G1P3', 'IFI35'], ['G1P3', 'STAT1'], ['IFI27', 'IFI35'], ['IFI27', 'STAT1'], ['IFI35', 'CCL5'], ['IFI35', 'STAT1'], ['CCL5', 'STAT1']]
ADH5	alcohol metabolism	1	0.177582522933	18194	5.0	[6, 22, 31, 60, 62]	0.4	6	0.0	2.0	1.10416666667	['ADH5', 'ATP5G3', 'ETFA', 'PDHB', 'BUB3', 'TOPBP1']	[['ADH5', 'PDHB'], ['ATP5G3', 'ETFA'], ['ATP5G3', 'PDHB'], ['ETFA', 'PDHB'], ['PDHB', 'BUB3'], ['BUB3', 'TOPBP1']]
ADM	immune response	0	9.0706523131e-15	18792	5.0	[4, 18, 31, 40, 55]	0.230158730159	28	0.0714285714286	6.21428571429	1.50665647624	['ADM', 'BIRC3', 'FAS', 'CASP1', 'CSF2RB', 'NR3C1', 'IFIT3', 'CXCL10', 'IRF7', 'ISG20', 'LCP2', 'LGALS9', 'CXCL9', 'MX1', 'MX2', 'MYD88', 'OAS1', 'PRG1', 'STAT4', 'TNFAIP3', 'IFITM1', 'NMI', 'G1P2', 'CLECSF2', 'IFI44', 'IFITM2', 'IFI44L', 'IFIT5']	[['ADM', 'NR3C1'], ['ADM', 'G1P2'], ['BIRC3', 'CXCL10'], ['BIRC3', 'TNFAIP3'], ['FAS', 'NR3C1'], ['FAS', 'CXCL10'], ['FAS', 'TNFAIP3'], ['FAS', 'NMI'], ['FAS', 'IFI44'], ['CASP1', 'MYD88'], ['CASP1', 'CLECSF2'], ['CSF2RB', 'IRF7'], ['CSF2RB', 'CXCL9'], ['CSF2RB', 'MX1'], ['CSF2RB', 'STAT4'], ['CSF2RB', 'G1P2'], ['NR3C1', 'LCP2'], ['NR3C1', 'MX2'], ['IFIT3', 'CXCL10'], ['IFIT3', 'IRF7'], ['IFIT3', 'CXCL9'], ['IFIT3', 'MX1'], ['IFIT3', 'MX2'], ['IFIT3', 'G1P2'], ['IFIT3', 'IFI44L'], ['IFIT3', 'IFIT5'], ['CXCL10', 'IRF7'], ['CXCL10', 'CXCL9'], ['CXCL10', 'MX1'], ['CXCL10', 'MX2'], ['CXCL10', 'IFITM1'], ['CXCL10', 'G1P2'], ['CXCL10', 'IFI44'], ['IRF7', 'ISG20'], ['IRF7', 'CXCL9'], ['IRF7', 'MX1'], ['IRF7', 'MX2'], ['IRF7', 'MYD88'], ['IRF7', 'IFITM1'], ['IRF7', 'G1P2'], ['IRF7', 'IFI44'], ['IRF7', 'IFI44L'], ['ISG20', 'MX1'], ['ISG20', 'MX2'], ['ISG20', 'MYD88'], ['ISG20', 'OAS1'], ['ISG20', 'IFITM1'], ['ISG20', 'NMI'], ['ISG20', 'G1P2'], ['ISG20', 'IFI44'], ['LCP2', 'CXCL9'], ['LCP2', 'MYD88'], ['LGALS9', 'IFITM2'], ['CXCL9', 'MX1'], ['CXCL9', 'MX2'], ['CXCL9', 'G1P2'], ['MX1', 'MX2'], ['MX1', 'MYD88'], ['MX1', 'OAS1'], ['MX1', 'NMI'], ['MX1', 'G1P2'], ['MX1', 'IFI44'], ['MX1', 'IFI44L'], ['MX1', 'IFIT5'], ['MX2', 'MYD88'], ['MX2', 'TNFAIP3'], ['MX2', 'IFITM1'], ['MX2', 'G1P2'], ['MX2', 'IFI44'], ['MX2', 'IFI44L'], ['MYD88', 'OAS1'], ['MYD88', 'IFITM1'], ['MYD88', 'G1P2'], ['MYD88', 'IFI44'], ['MYD88', 'IFI44L'], ['OAS1', 'G1P2'], ['OAS1', 'IFI44'], ['OAS1', 'IFI44L'], ['PRG1', 'STAT4'], ['IFITM1', 'G1P2'], ['IFITM1', 'IFI44'], ['IFITM1', 'IFITM2'], ['IFITM1', 'IFI44L'], ['G1P2', 'IFI44'], ['G1P2', 'IFI44L'], ['G1P2', 'IFIT5'], ['IFI44', 'IFI44L']]
AEBP1	cell adhesion	1	9.90008172929e-05	113524	7.0	[3, 13, 31, 32, 59, 61, 62]	1.0	4	0.0	3.0	1.46296296296	['AEBP1', 'CSPG2', 'THBS2', 'POSTN']	[['AEBP1', 'CSPG2'], ['AEBP1', 'THBS2'], ['AEBP1', 'POSTN'], ['CSPG2', 'THBS2'], ['CSPG2', 'POSTN'], ['THBS2', 'POSTN']]
AIF1	immune response	1	1.05751044394e-16	5998	5.0	[3, 11, 13, 17, 20]	0.575	16	0.0625	8.625	1.60810280839	['AIF1', 'CD74', 'CTSS', 'FCER1G', 'GBP1', 'HLA-DMA', 'HLA-DMB', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DRA', 'HLA-DRB5', 'TYROBP', 'LST1', 'BTN3A3', 'IFI30', 'LILRB3']	[['AIF1', 'CD74'], ['AIF1', 'HLA-DMA'], ['AIF1', 'HLA-DMB'], ['AIF1', 'HLA-DPA1'], ['AIF1', 'HLA-DPB1'], ['AIF1', 'HLA-DRA'], ['AIF1', 'HLA-DRB5'], ['AIF1', 'TYROBP'], ['CD74', 'CTSS'], ['CD74', 'FCER1G'], ['CD74', 'HLA-DMA'], ['CD74', 'HLA-DMB'], ['CD74', 'HLA-DPA1'], ['CD74', 'HLA-DPB1'], ['CD74', 'HLA-DRA'], ['CD74', 'HLA-DRB5'], ['CD74', 'TYROBP'], ['CD74', 'LST1'], ['CD74', 'IFI30'], ['CTSS', 'HLA-DMA'], ['CTSS', 'HLA-DMB'], ['CTSS', 'HLA-DPA1'], ['CTSS', 'HLA-DRA'], ['CTSS', 'HLA-DRB5'], ['FCER1G', 'HLA-DMA'], ['FCER1G', 'HLA-DMB'], ['FCER1G', 'HLA-DPA1'], ['FCER1G', 'HLA-DPB1'], ['FCER1G', 'HLA-DRA'], ['FCER1G', 'HLA-DRB5'], ['FCER1G', 'TYROBP'], ['FCER1G', 'LST1'], ['FCER1G', 'IFI30'], ['GBP1', 'BTN3A3'], ['HLA-DMA', 'HLA-DMB'], ['HLA-DMA', 'HLA-DPA1'], ['HLA-DMA', 'HLA-DPB1'], ['HLA-DMA', 'HLA-DRA'], ['HLA-DMA', 'HLA-DRB5'], ['HLA-DMA', 'TYROBP'], ['HLA-DMA', 'LST1'], ['HLA-DMA', 'IFI30'], ['HLA-DMB', 'HLA-DPA1'], ['HLA-DMB', 'HLA-DPB1'], ['HLA-DMB', 'HLA-DRA'], ['HLA-DMB', 'HLA-DRB5'], ['HLA-DMB', 'TYROBP'], ['HLA-DMB', 'LST1'], ['HLA-DMB', 'IFI30'], ['HLA-DPA1', 'HLA-DPB1'], ['HLA-DPA1', 'HLA-DRA'], ['HLA-DPA1', 'HLA-DRB5'], ['HLA-DPA1', 'TYROBP'], ['HLA-DPA1', 'LST1'], ['HLA-DPA1', 'IFI30'], ['HLA-DPB1', 'HLA-DRA'], ['HLA-DPB1', 'HLA-DRB5'], ['HLA-DPB1', 'TYROBP'], ['HLA-DPB1', 'LST1'], ['HLA-DPB1', 'BTN3A3'], ['HLA-DRA', 'HLA-DRB5'], ['HLA-DRA', 'TYROBP'], ['HLA-DRA', 'IFI30'], ['HLA-DRB5', 'TYROBP'], ['HLA-DRB5', 'LST1'], ['HLA-DRB5', 'IFI30'], ['TYROBP', 'LST1'], ['TYROBP', 'IFI30'], ['LST1', 'LILRB3']]
AIF1	regulation of cell proliferation	1	0.0112263450094	22696	5.0	[10, 17, 18, 33, 59]	0.47619047619	7	0.285714285714	2.85714285714	0.683449074074	['ACP5', 'AIF1', 'GRN', 'HLA-DPA1', 'HLA-DPB1', 'LAPTM5', 'GPNMB']	[['ACP5', 'GRN'], ['ACP5', 'LAPTM5'], ['ACP5', 'GPNMB'], ['AIF1', 'GRN'], ['AIF1', 'HLA-DPA1'], ['AIF1', 'LAPTM5'], ['AIF1', 'GPNMB'], ['GRN', 'LAPTM5'], ['GRN', 'GPNMB'], ['HLA-DPA1', 'HLA-DPB1']]
ALDOA	response to abiotic stimulus	0	0.0133501612979	23759	5.0	[46, 53, 61, 62, 63]	0.4	6	0.166666666667	2.0	1.23611111111	['ALDOA', 'ASNA1', 'CD151', 'C20orf14', 'POLDIP2', 'ARS2']	[['ALDOA', 'ASNA1'], ['ALDOA', 'CD151'], ['ASNA1', 'C20orf14'], ['ASNA1', 'ARS2'], ['CD151', 'POLDIP2'], ['C20orf14', 'ARS2']]
ALOX5	immune response	1	4.99672301001e-13	19767	5.0	[3, 11, 13, 20, 31]	0.525641025641	13	0.0	6.30769230769	1.58165432099	['ALOX5', 'CTSS', 'FCER1G', 'HLA-DMA', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB5', 'MNDA', 'TYROBP', 'WAS', 'LST1', 'GPSM3', 'NCR3']	[['ALOX5', 'FCER1G'], ['ALOX5', 'MNDA'], ['ALOX5', 'TYROBP'], ['ALOX5', 'LST1'], ['ALOX5', 'NCR3'], ['CTSS', 'FCER1G'], ['CTSS', 'HLA-DMA'], ['CTSS', 'HLA-DRA'], ['CTSS', 'HLA-DRB1'], ['CTSS', 'HLA-DRB5'], ['CTSS', 'TYROBP'], ['CTSS', 'LST1'], ['FCER1G', 'HLA-DMA'], ['FCER1G', 'HLA-DRA'], ['FCER1G', 'HLA-DRB1'], ['FCER1G', 'HLA-DRB5'], ['FCER1G', 'MNDA'], ['FCER1G', 'TYROBP'], ['FCER1G', 'LST1'], ['FCER1G', 'NCR3'], ['HLA-DMA', 'HLA-DRA'], ['HLA-DMA', 'HLA-DRB1'], ['HLA-DMA', 'HLA-DRB5'], ['HLA-DMA', 'TYROBP'], ['HLA-DMA', 'LST1'], ['HLA-DRA', 'HLA-DRB1'], ['HLA-DRA', 'HLA-DRB5'], ['HLA-DRA', 'MNDA'], ['HLA-DRA', 'TYROBP'], ['HLA-DRB1', 'HLA-DRB5'], ['HLA-DRB1', 'TYROBP'], ['HLA-DRB5', 'TYROBP'], ['HLA-DRB5', 'LST1'], ['MNDA', 'TYROBP'], ['MNDA', 'LST1'], ['TYROBP', 'LST1'], ['TYROBP', 'NCR3'], ['WAS', 'GPSM3'], ['LST1', 'GPSM3'], ['LST1', 'NCR3'], ['GPSM3', 'NCR3']]
ALOX5AP	immune response	1	7.26169071349e-13	30464	6.0	[3, 10, 11, 13, 31, 35]	0.709090909091	11	0.0	7.09090909091	1.60648148148	['ALOX5AP', 'C1QA', 'C1QB', 'FCER1G', 'HLA-DMA', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DRA', 'HLA-DRB1', 'TYROBP', 'LY96']	[['ALOX5AP', 'FCER1G'], ['ALOX5AP', 'HLA-DPA1'], ['ALOX5AP', 'TYROBP'], ['C1QA', 'C1QB'], ['C1QA', 'FCER1G'], ['C1QA', 'HLA-DMA'], ['C1QA', 'HLA-DPA1'], ['C1QA', 'HLA-DPB1'], ['C1QA', 'HLA-DRA'], ['C1QA', 'HLA-DRB1'], ['C1QA', 'TYROBP'], ['C1QB', 'FCER1G'], ['C1QB', 'HLA-DMA'], ['C1QB', 'HLA-DPA1'], ['C1QB', 'HLA-DPB1'], ['C1QB', 'HLA-DRA'], ['C1QB', 'HLA-DRB1'], ['C1QB', 'TYROBP'], ['FCER1G', 'HLA-DMA'], ['FCER1G', 'HLA-DPA1'], ['FCER1G', 'HLA-DRA'], ['FCER1G', 'TYROBP'], ['FCER1G', 'LY96'], ['HLA-DMA', 'HLA-DPA1'], ['HLA-DMA', 'HLA-DPB1'], ['HLA-DMA', 'HLA-DRA'], ['HLA-DMA', 'HLA-DRB1'], ['HLA-DMA', 'TYROBP'], ['HLA-DPA1', 'HLA-DPB1'], ['HLA-DPA1', 'HLA-DRA'], ['HLA-DPA1', 'HLA-DRB1'], ['HLA-DPA1', 'TYROBP'], ['HLA-DPB1', 'HLA-DRA'], ['HLA-DPB1', 'HLA-DRB1'], ['HLA-DPB1', 'TYROBP'], ['HLA-DRA', 'HLA-DRB1'], ['HLA-DRA', 'TYROBP'], ['HLA-DRB1', 'TYROBP'], ['TYROBP', 'LY96']]
BIRC3	regulation of apoptosis	1	0.00257361973382	8453	6.0	[1, 4, 18, 40, 43, 55]	0.347619047619	21	0.047619047619	6.95238095238	1.31018518519	['BIRC3', 'NR3C1', 'CXCL2', 'IFI27', 'IFIT1', 'IFIT3', 'IL8', 'CXCL10', 'IRF7', 'ISG20', 'MX1', 'MX2', 'MYD88', 'NFKB1', 'OAS1', 'TNFAIP3', 'IFITM1', 'TNFSF10', 'G1P2', 'IFI44', 'IFI44L']	[['BIRC3', 'NFKB1'], ['BIRC3', 'TNFAIP3'], ['NR3C1', 'MX2'], ['CXCL2', 'IL8'], ['IFI27', 'IFITM1'], ['IFIT1', 'IFIT3'], ['IFIT1', 'CXCL10'], ['IFIT1', 'IRF7'], ['IFIT1', 'MX1'], ['IFIT1', 'MX2'], ['IFIT1', 'MYD88'], ['IFIT1', 'OAS1'], ['IFIT1', 'IFITM1'], ['IFIT1', 'TNFSF10'], ['IFIT1', 'G1P2'], ['IFIT1', 'IFI44'], ['IFIT1', 'IFI44L'], ['IFIT3', 'CXCL10'], ['IFIT3', 'IRF7'], ['IFIT3', 'MX1'], ['IFIT3', 'MX2'], ['IFIT3', 'IFITM1'], ['IFIT3', 'G1P2'], ['IFIT3', 'IFI44L'], ['IL8', 'ISG20'], ['CXCL10', 'IRF7'], ['CXCL10', 'ISG20'], ['CXCL10', 'MX2'], ['CXCL10', 'G1P2'], ['CXCL10', 'IFI44'], ['IRF7', 'ISG20'], ['IRF7', 'MX1'], ['IRF7', 'MX2'], ['IRF7', 'MYD88'], ['IRF7', 'NFKB1'], ['IRF7', 'IFITM1'], ['IRF7', 'G1P2'], ['IRF7', 'IFI44'], ['IRF7', 'IFI44L'], ['ISG20', 'OAS1'], ['ISG20', 'G1P2'], ['ISG20', 'IFI44'], ['MX1', 'MX2'], ['MX1', 'MYD88'], ['MX1', 'OAS1'], ['MX1', 'IFITM1'], ['MX1', 'TNFSF10'], ['MX1', 'G1P2'], ['MX1', 'IFI44'], ['MX1', 'IFI44L'], ['MX2', 'OAS1'], ['MX2', 'IFITM1'], ['MX2', 'TNFSF10'], ['MX2', 'G1P2'], ['MX2', 'IFI44'], ['MX2', 'IFI44L'], ['MYD88', 'OAS1'], ['MYD88', 'G1P2'], ['MYD88', 'IFI44'], ['MYD88', 'IFI44L'], ['NFKB1', 'TNFAIP3'], ['OAS1', 'G1P2'], ['OAS1', 'IFI44'], ['OAS1', 'IFI44L'], ['IFITM1', 'TNFSF10'], ['IFITM1', 'G1P2'], ['IFITM1', 'IFI44'], ['IFITM1', 'IFI44L'], ['TNFSF10', 'G1P2'], ['TNFSF10', 'IFI44'], ['G1P2', 'IFI44'], ['G1P2', 'IFI44L'], ['IFI44', 'IFI44L']]
BIRC3	negative regulation of cellular physiological process	1	0.0017449808613	8085	5.0	[1, 4, 18, 40, 55]	0.472222222222	9	0.111111111111	3.77777777778	1.42098765432	['BIRC3', 'IRF7', 'MX1', 'NFKB1', 'NFKBIA', 'OAS1', 'TNFAIP3', 'IFI44', 'IFI44L']	[['BIRC3', 'NFKB1'], ['BIRC3', 'NFKBIA'], ['BIRC3', 'TNFAIP3'], ['IRF7', 'MX1'], ['IRF7', 'NFKB1'], ['IRF7', 'OAS1'], ['IRF7', 'IFI44'], ['IRF7', 'IFI44L'], ['MX1', 'OAS1'], ['MX1', 'IFI44'], ['MX1', 'IFI44L'], ['NFKB1', 'NFKBIA'], ['NFKB1', 'TNFAIP3'], ['NFKBIA', 'TNFAIP3'], ['OAS1', 'IFI44'], ['OAS1', 'IFI44L'], ['IFI44', 'IFI44L']]
