             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
ABCA8	0.85	0.98	0.98	0.97	0.97		0.78	0.86	0.94	0.79	1			0.65	0.62
ABCA9	0.94	0.96	0.99	0.82	0.19		0.92	0.85	0.86	0.84	0.81			0.54	0.55
ABCB1	0.63	0.85	0.92	0.81	0.59		0.86	0.58	0.8	0.82	0.56			0.7	0.69
ABCB10	0.85	0.9	0.7	0.47	0.54		0.83	0.15	0.44	0.07	0.79			2.37	2.26
ABCB11	0.55	0.99	0.6	0.63	0.65		0.83	0.68	0.88	0.76	0.92			0.58	0.57
ABCB6	0.32	0.52	0.57	0.24	0.14		0.2	0.54	0.28	0.32	0.33			1.46	1.14
ABCB8	0.52	0.77	0.45	0.45	0.61		0.29	0.42	0.58	0.42	0.58			2.59	2.5
ABCB9	0.61	0.59	 	0.69	0.51		0.66	0.78	0.62	0.69	 			0.97	
ABCC11	0.25	0.26	0.39	0.71	0.25		0.41	0.37	0.34	0.77	0.15			0.98	1
ABCC12	0.12	0.13	0.15	0.06	0.14		0.11	0.06	0.56	0.35	0.05				1.07
ABCC2	0.93	0.42	0.76	0.94	0.58		0.94	0.79	0.94	0.92	0.8			0.64	0.65
ABCC3	0.24	0.21	0.92	0.16	0.38		0.11	0.12	0.79	0.62	0.46			0.97	0.91
ABCC4	0.12	0.57	0.88	0.6	0.53		0.67	0.83	0.9	0.63	0.99			1	
ABCC5	0.2	0.45	0.41	0.51	0.53		0.24	0.42	0.31	0.26	0.7			4.14	3.13
ABCD1	0.14	0.22	0.19	0.17	0.21		0.33	0.09	0.18	0.54	0.08			0.99	0.97
ABCD4	0.5	0.58	0.26	0.88	1		0.69	0.35	0.42	0.54	0.35			2.7	1.33
ABCE1	0.56	0.58	0.83	0.43	0.88		0.27	0.23	0.77	0.56	0.45			1.03	1.34
ABCF1	0.49	0.64	 	0.43	0.34		0.26	0.33		0.62	 				
ABCF2	0.18	0.24	0.33	0.13	0.2		0.14	0.56	0.17	0.1	0.18			2.25	2.24
ABCF3	0.68		 		0.72						0.93				
ABCG1	0.31	0.35	 	0.89			0.8	0.88		0.74	 				
ABCG2	0.65	0.97	0.72	0.99	0.95		0.99	0.82	0.55	0.92	0.92			0.83	0.8
ABCG4	0.07	0.29	0.42	0.21	0.35		0.21	0.74	0.4	0.38	0.21			1.04	1.04
ABCG5	0.37	0.56	0.95	0.36	0.9		0.7	0.51	0.83	0.71	0.92				
ABCG8	0.09	0.41	0.57	0.71	0.18		0.35	0.86	0.7	0.74	0.36			0.98	0.88
ABHD1	0.41	 	0.41	0.47	 		0.16	0.51	0.37	0.26	0.39			2.76	1.89
ABHD2	0.42	 	0.61	0.41	 		0.33	0.19	0.23	0.12	0.22			3.13	2.24
ABHD4	0.37	 	0.88	0.27	 		0.4	0.21	0.36	0.24	0.25			2.19	1.66
ABHD8	0.66	0.6	0.56	0.12	0.23		0.69	0.53	0.41	0	0.41			1.12	1.05
ABHD9	0.2	0.1	0.07	0.41	0.43		0.17	0.34	0.3	0.52	0.11			1.07	1.13
ABI1	0.48	0.53	0.94	0.87	0.92		0.8	0.45	0.78	0.75	0.78			1.17	0.93
ABI3	0.15	0.6	0.39	0.42	0.32		0.41	0.58	0.33	0.48	0.32			0.9	0.96
ABL1	0.44	0.84	0.61	0.75	0.52		0.72	0.85	0.49	0.63	0.64			1.47	1.54
ABLIM1	0.63	 	0.55	0.59	 		0.79	0.61	0.59	0.39	0.94			1.59	1
ABLIM3	0.32	0.1	0.71	0.84	0.56		0.44	0.55	0.43	0.42	0.53			1.07	1.01
ABP1	0.79	0.75	0.53	0.55	0.82		0.59	0.65	0.53	0.31	0.6			1.49	1.04
ABS	0.97	0.77	0.25	0.25	0.67		0.22	0.8	0.14	0.14	0.9			4.17	3.6
ABT1	0.74	0.79	0.07	0.1	0.53		0.29	0.51	0.03	0.01	0.6			4.03	3.13
ABTB1	0.26	0.34	0.45	0.72	0.84		0.26	0.41	0.39	0.56	0.59			0.88	1
ACAA2	0.68	0.73	0.1	0.06	0.29		0.1	0.04	0.04	0.02	0.26			4.43	4.67
ACACA	0.3	0.21	0.23	0.46	0.14		0.64	0.73	0.73	0.65	0.26			0.88	0.9
ACACB	0.39	0.11	0.06	0.29	0.23		0.17	0.22	0.37	0.66	0.18			0.94	0.98
ACAD10	0.64	0.24	0.72	0.25	0.25		0.53	0.68	0.44	0.57	0.69			1	1.09
ACAD8	0.67	0.17	0.75	0.49	0.72		0.54	0.55	0.33	0.3	0.8			3.97	2.39
ACADL	0.18	0.19	0.2	0.51	0.12		0.32	0.32	0.29	0.56	0.08			1.04	1.07
ACADS	0.74	0.91	0.64	0.85	0.54		0.52	0.5	0.44	0.65	0.55			1.7	1.58
ACADSB	0.78	0.28	0.28	0.34	0.33		0.41	0.7	0.62	0.08	0.58			3.9	3.57
ACADVL	0.64	0.88	0.39	0.82	0.32		0.47	0.72	0.24	0.12	0.43			2.57	2.09
ACAT1	0.27	0.12	0.33	0.5	0.21		0.21	0.23	0.28	0.44	0.2			2.03	1.84
ACAT2	0.22	0.6	0.71	0.6	0.28		0.43	0.12	0.18	0.26	0.25			2.12	3.74
ACBD3	0.44	 	0.34	0.17	 		0.25	0.15	0.1	0.08	0.23			4.23	4.33
ACBD4	0.22	0.58	0.15	0.32	0.33		0.27	0.12	0.3	0.32	0.2			1.35	1.35
ACBD6	0.81	0.31	0.2	0.11	0.57		0.31	0.32	0.04	0.01	0.42			4.19	3.21
ACCN2	0.13	0.02	0.71	0.08	0.16		0.21	0.01	0.56	0.46	0.2			0.72	0.82
ACCN3	0.14	0.52	0.35	0.31	0.21		0.09	0.61	0.6	0.49	0.38			1.93	1.53
ACCN4	0.08	0.06	0.46	0.08	0.25		0.09	0.1	0.64	0.3	0.23			0.99	1.03
ACDC	0.65	0.61	0.75	0.6	0.34		0.34	0.68	0.64	0.79	0.68			0.7	0.71
ACE2	0.15	0.04	0.05	0.25	0.16		0.63	0.02	0.23	0.64	0.07			1	0.94
ACF	0.48	0.98	0.95	0.65	0.8		0.86	0.58	0.88	0.8	0.62			0.99	0.86
ACHE	0.34		 	0.61			0.69	0.87		0.74	 				
ACIN1	0.93	 	0.23	0.33	 		0.34	0.27	0.15	0.03	0.15			6.1	6.05
ACN9	0.76	0.33	0.23	0.17	0.54		0.34	0.68	0.38	0.15	0.67			4.53	3.19
ACO1	0.51	0.13	0.77	0.73	0.44		0.46	0.74	0.3	0.32	0.35			2.11	2.41
ACO2	0.92	0.57	0.15	0.14	0.34		0.23	0.4	0.16	0.12	0.22			3.74	3.85
ACOX1	0.69	0.81	0.31	0.48	0.34		0.14	0.17	0.1	0.06	0.14			4.91	5
ACOX3	0.91	0.79	0.31	0.75	0.5		0.45	0.82	0.13	0.31	0.36			3.35	3.24
ACOXL	0.84	0.27	0.79	0.89	1		0.77	0.97	0.88	0.92	0.96			0.64	0.43
ACP2	0.6	0.68	0.18	0.19	0.5		0.04	0.59	0.22	0.05	0.13			5	3.91
ACP6	0.07	 	0.42	0.61	 		0.65	0.83	0.89	0.77	0.64			0.83	0.75
ACPP	0.72	0.88	0.76	0.84	0.27		0.62	0.69	0.45	0.66	0.84			1.12	0.82
ACPT	0.22	0.12	0.14	0.12	0.16		0.16	0.12	0.35	0.48	0.16			1.14	1.28
ACR	0.02	0.22	0.24	0.25	0.6		0.56	0.37	0.77	0.62	0.77			0.74	0.68
ACRBP	0.34	0.55	0.18	0.27	0.53		0.78	0.26	0.42	0.84	0.27			0.97	0.99
ACRC	0.34	0.2	0.73	0.37	0.44		0.55	0.1	0.85	0.66	0.89			0.9	0.79
ACRV1	0.63	0.77	0.8	0.84	0.36		0.89	0.37	0.81	0.79	0.63			0.69	0.66
ACSL4	0.82	0.31	0.83	0.39	0.96		0.28	0.07	0.11	0.09	0.22			4.03	5.06
ACTA1	0.82	0.95	0.85	0.85	0.39		0.76	0.65	0.45	0.85	0.43			1	0.96
ACTB	0.11	0.16	0.31	0.21	0.5		0.31	0.32	0.19	0.51	0.09			2.2	2.37
ACTC	0.6	0.33	0.27	0.12			0.66	0.43	0.88	0.56	0.44			0.99	0.89
ACTG2	0.39	0.11	0.6	0.83	0.59		0.23	0.89	0.57	0.73	0.51			0.75	0.8
ACTL6A	0.9	0.31	0.46	0.54	0.79		0.38	0.82	0.25	0.32	0.42			2.03	1.91
ACTL6B	0.25	0.37	0.34	0.11	0.33		0.04	0.33	0.29	0.32	0.16			1.07	1.17
ACTL7A	0.46	0.48	0.24	0.53	0.24		0.5	0.6	0.66	0.68	0.67			0.96	0.84
ACTN1	0.28	0.67	0.28	0.2	0.32		0.33	0.17	0.16	0.02	0.18			3.78	3.67
ACTN2	0.33	0.17	0.93	0.79	0.28		0.87	0.87	0.96	0.75	0.98				
ACTN3	0.21	0.27	0.6	0.35	0.2		0.07	0.05	0.63	0.56	0.54			1.95	1.62
ACTN4	0.53	0.17	0.37	0.07	0.55		0.42	0.18	0.06	0.03	0.16			2.71	3.05
ACTR10	0.27	0.7	1	0.98	0.37		0.89	0.98		0.84	 				
ACTR1A	0.99	0.93	0.64	0.78	0.51		0.94	0.83	0.84	0.38	0.86			2.49	2.94
ACTR1B	0.65	0.88	 	0.75			0.89	0.8		0.67	 			2.3	2.58
ACTR2	0.44	0.22	0.26	0.07	0.21		0.21	0.21	0.06	0.06	0.21			4.35	4.74
ACTR3	0.25	0.37	0.05	0.08	0.26		0.03	0.08	0	0	0.05			5.87	5.9
ACTR5	0.87	0.57	0.75	0.83	0.63		0.57	0.95	0.78	0.37	0.91			2.77	2.27
ACTR8	0.68	 	0.14	0.53	 		0.63	0.57	0.58	0.81	0.24			0.89	0.97
ACVR1	0.99	0.93	0.56	0.63	0.89		0.98	0.6	0.16	0.34	0.8			2.54	1.94
ACVR1B	0.74	0.48	0.47	0.59	0.77		0.69	0.42	0.76	0.04	0.89			1.24	2.89
ACVR2	0.02	0.61	0.66	0.33	0.21		0.03	0.14	0.6	0.17	0.68			0.83	0.94
ACVRL1	0.1	0.94	0.66	0.53	0.21		0.61	0.65	0.86	0.64	0.83			1.07	1.05
ACY1	0.28	0.48	0.21	0.15	0.31		0.4	0.1	0.25	0.1	0.23			3.41	2.53
ACY3	0.17	 	0.29	0.5	 		0.25	0.12	0.17	0.61	0.05			1.14	1.14
ACYP1	0.98	0.64	0.66	0.55	0.92		0.37	0.97	0.54	0.04	0.78			2.48	2.03
AD-003	0.07	0.23	0.24	0.47	0.29		0.22	0.34	0.29	0.53	0.13			1.62	1.66
AD-017	0.6	0.61	0.24	0.18	1		0.14	0.59	0.64	0.16	0.2			4.87	5.77
AD-020	0.5	0.43	0.13	0.27	0.58		0.52	0.09	0.31	0.01	0.14			4.29	3.78
AD023	0.07	0.71	 	0.92	0.32		0.52	0.98			 				0.76
AD031	0.46	0.54	0.68	0.83	0.73		0.66	0.47	0.6	0.84	0.79			0.91	0.94
AD158	0.23	0.11	0.94	0.24	0.59		0.45	0.35	0.41	0.32	 			2.71	
ADA	0.49	0.98	 	0.83	0.16		0.7	0.79		0.7	 				
ADAM10	0.96	0.97	0.77	0.59	0.41		0.46	0.37	0.64	0.32	0.76			3.28	2.31
ADAM11	0.05	0.56	0.55	0.36	0.55		0.21	0.19	0.46	0.7	0.36			0.77	0.86
ADAM12	0.69	0.05	0.2	0.41	0.97		0.81	0.78	0.84	0.64	0.83			0.94	0.69
ADAM15	0.9	0.63	0.44	0.34	0.32		0.37	0.67	0.4	0.18	0.42			2.09	1.71
ADAM20	0.33	0.29	0.47	0.47	0.92		0.86	0.31	0.92	0.64	0.75			0.82	0.84
ADAM21	0.41	0.69	0.73	0.47	0.21		0.88	0.68	0.64	0.91	0.34			0.71	0.69
ADAM23	0.18	0.26	0.5	0.51	0.23		0.42	0.14	0.9	0.48	0.97			1.03	0.97
ADAM28	0.7	0.71	0.27	0.61	0.65		0.9	0.6	0.56	0.42	0.46			0.89	0.83
ADAM33	0.73	0.62	 	0.88	0.32		0.75	0.96		0.72	 				
ADAM8	0.49	0.56	0.12	0.39	0.6		0.47	0.32	0.14	0.34	0.21			1.46	1.19
ADAMDEC1	0.6	0.71	0.91	0.95	0.99		0.79	0.98	0.4	0.85	0.96			0.88	1.63
ADAMTS1	0.24	0.31	0.69	0.69	0.58		0.29	0.17	0.83	0.74	0.31			0.85	0.88
ADAMTS12	0.44	0.41	0.83	0.67	1		0.48	0.39	0.85	0.46	0.67			0.88	0.85
ADAMTS2	0.04	0.12	0.86	0.34	0.2		0.05	0.15	0.86	0.69	0.87				1.04
ADAMTS4	0.16	0.31	0.57	0.79	0.79		0.11	0.53	0.69	0.34	0.58			0.71	0.79
ADAMTS6	0.93	0.86	0.98	1	1		0.95	0.97	0.83	0.97	0.98			0.59	0.54
ADAMTS7	0.37	0.32	0.55	0.04	0.93		0.48	0.62	0.68	0.14	0.93			1.91	1.77
ADAMTS8	0.22	0.24	0.67	0.56	0.23		0.57	0.66	0.55	0.76	0.6			0.71	0.79
ADAMTSL1	0.92	0.77	0.77	0.71	0.53		0.96	0.83	0.79	0.84	0.72			0.85	0.81
ADAR	0.31	0.84	 	0.99	0.6		0.91	0.92		0.67	0.61				
ADARB1	0.24	0.22	0.24	0.63	0.34		0.32	0.1	0.58	0.6	0.63			0.85	0.91
ADARB2	0.32	0.42	0.6	0.87	0.97		0.25	0.68	0.59	0.57	0.74			0.99	0.92
ADAT1	0.38	0.55	0.26	0.48	0.13		0.53	0.33	0.3	0.46	0.21			1.79	1.85
ADCK1	0.22	0.4	0.6	0.9	0.61		0.5	0.41	0.55	0.87	0.31			0.86	0.99
ADCK2	0.74	0.81	0.49	0.6	0.24		0.77	0.44	0.85	0.56	0.66			0.85	0.77
ADCK4	0.29	0.39	0.14	0.1	0.99		0.19	0.12	0.48	0.27	0.41			1.81	1.69
ADCY3	0.61	0.48	0.26	0.04	0.15		0.12	0.16	0	0.03	0.14			1.61	1.77
ADCY8	0.52	0.68	0.33	0.74	0.63		0.93	0.43	0.7	0.73	0.71			0.91	1.02
ADCYAP1R1	0.23	0.31	0.28	0.5	0.33		0.36	0.41	0.72	0.75	0.34			0.74	0.78
ADD2	0.49	0.76	 	0.69	0.35		0.67	0.81		0.85	 				
ADD3	0.27	0.42	0.26	0.57	0.38		0.59	0.47	0.42	0.66	0.22			0.95	1
ADFP	0.13	0.09	0.45	0.62	0.17		0.39	0.72	0.17	0.16	0.13			2.3	2.39
ADH1A	0.55	0.75	0.58	0.74	0.93		0.9	0.63	0.78	0.86	0.63			0.62	0.61
ADH1B	0.48	0.41	0.75	0.92	0.33		0.54	0.68	0.71	0.7	0.6			0.74	0.67
ADH1C	0.12	0.02	0.5	0.42	0.22		0.38	0.24	0.29	0.74	0.21			0.85	0.87
ADH4	0.76	0.37	0.57	0.41	0.6		0.87	0.58	0.65	0.74	0.82			0.89	0.83
ADH5	0.19	0.43	0.24	0.44	0.55		0.18	0.28	0.58	0.56	0.34			2.17	1.83
ADH6	0.77	0.99	0.89	0.72	0.66		0.88	0.88	0.85	0.81	0.87			0.97	0.99
ADH7	0.88	0.62	0.97	0.9	0.55		0.98	0.89	0.78	0.93	0.84			0.54	0.5
ADIPOR1	0.72	 	0.66	0.65	 		0.54	0.57	0.28	0.38	0.62			1.84	2.22
ADIPOR2	0.94	1	0.91	0.92	0.31		0.9	0.8	0.77	0.92	0.97			0.73	0.93
ADK	0.81	0.91	0.47	0.43	0.41		0.51	0.13	0.38	0.32	0.71			3.95	3.01
ADM2	0.25	0.04	0.07	0.16	0.35		0.27	0.06	0.22	0.57	0.05			1.03	0.98
ADMR	0.05	0.12	0.51	0.53	0.05		0.52	0.11	0.18	0.44	0.07			1.01	1.03
ADNP	0.09	0.44	0.71	0.54	0.54		0.66	0.14	0.74	0.78	0.37			0.87	0.99
ADORA1	0.66	0.73	 	0.91	0.96		0.91	0.69		0.8	0.87				
ADORA3	0.43	0.33	0.64	0.47	0.44		0.58	0.96	0.23	0.34	0.55				0.82
ADPRHL2	0.8	0.54	0.3	0.42	0.39		0.19	0.19	0.3	0.14	0.09			2.31	2.52
ADRA1A	0.38	0.53	0.15	0.46	1		0.97	0.39	0.85	0.74	0.21			0.95	1.02
ADRA1B	0.28	0.79	1	0.85	0.99		0.85	0.71	0.99	0.92	0.87			0.76	0.61
ADRA1D	0.27	0.23	0.18	0.13	0.25		0.65	0.67	0.6	0.62	0.43			1.34	1.11
ADRA2A	0.24	0.3	0.53	0.36	0.52		0.25	0.05	0.6	0.35	0.32			1.66	1.51
ADRA2B	0.03	0.1	0.41	0.43	0.27		0.33	0.16	0.39	0.61	0.27			0.84	0.84
ADRB1	0.55	0.43	 	0.44	0.42		0.69	0.48		0.37	 			1.06	
ADRBK2	0.49	0.38	0.84	0.42	0.67		0.67	0.33	0.88	0.81	0.48			1.08	1.15
ADRM1	0.81	0.56	0.42	0.13	0.94		0.04	0.5	0.32	0.26	0.62			1.1	1.57
ADSL	0.23	0.34	0.33	0.34	0.58		0.41	0.2	0.19	0.21	0.16			2.95	2.89
ADSS	0.9	0.59	0.68	0.37	0.37		0.41	0.73	0.19	0.16	0.61			4.08	4.3
AEBP1		0.86	 	0.98			0.95	0.96		0.9	 				
AF093680	0.55	 	0.15	0.01	 		0.35	0.18	0	0.01	0.16			2.16	1.98
AF140225	0.98	 	0.93	0.77	 		0.88	0.99	0.34	0.46	0.43			3.64	3.03
AF15Q14	0.51	0.53	0.49	0.12	0.17		0	0.07	0.01	0.04	0.07			1.62	1.71
AF1Q	0.58	0.18	0.44	0.23	0.02		0	0.7	0.01	0.04	0.18			3.88	3.9
AF311304	0.91	0.97	0.99	0.96	0.64		0.96	0.83	0.72	0.84	0.96			1.61	2.26
AF5Q31	0.58	0.2	0.1	0.32	0.53		0.47	0.29	0.55	0.49	0.16			2.65	2.85
AFM	0.76	0.81	0.6	0.85	0.13		0.83	0.4	0.87	0.62	0.86			0.85	1
AFP	1	1	1	1	1		1	0.99	0.99	0.99	1			0.28	0.43
AGA	0.66	0.72	0.65	0.17	0.43		0.53	0.59	0.06	0.07	0.33			5.42	4.6
AGER	0.45	0.91	 	0.74	0.51		0.73	0.83		0.76	 				
AGL	0.31	0.31	0.86	0.51	0.57		0.49	0.78	0.57	0.41	0.17			3.44	2.43
AGPAT1	0.68	0.56	0.65	0.16	0.41		0.14	0.23	0.63	0.05	0.46			3.14	3.28
AGPAT2	0.51	0.56	0.99	0.16	0.3		0.21	0.07	0.58	0.25	 				
AGPAT3	0.73	0.56	0.27	0.59	0.99		0.82	0.62	0.68	0.85	0.46			0.97	0.93
AGPAT4	0.77	0.86	0.79	0.55	0.99		0.8	0.74	0.36	0.15	0.56			3.03	2.31
AGPS	0.38	0.84	0.26	0.23	0.97		0.48	0.18	0.45	0.22	0.19			3.21	3.04
AGR2	0.8	0.67	0.76	0.82	0.97		0.92	0.87	0.92	0.8	0.94			0.62	0.59
AGRP	0.53	0.46	0.19	0.48	0.99		0.41	0.55	0.62	0.34	0.45			1.85	1.42
AGT	0.29	0.46	0.38	0.78	0.39		0.58	0.56	0.66	0.73	0.47			0.85	0.83
AGTPBP1	0.22	0.24	0.59	0.29	0.69		0.08	0.02	0.71	0.08	0.92			0.78	0.84
AGTR1	0.17	0.4	0.65	0.28	0.51		0.89	0.4	0.87	0.75	0.53			0.74	0.64
AGTR2	0.69	0.73	0.71	0.92	0.75		0.69	0.58	0.7	0.81	0.84			0.74	0.73
AGTRL1	0.17	0.46	0.25	0.51	0.36		0.76	0.63	0.49	0.7	0.36			0.92	0.84
AGTRL2	0.34	0.43	0.24	0.49	0.66		0.64	0.41	0.53	0.6	0.58			1.69	1.52
AGXT2	0.37	0.5	0.55	0.52	0.42		0.56	0.21	0.76	0.63	0.72			0.66	0.87
AGXT2L1	0.17	0.47	0.55	0.66	0.51		0.4	0.33	0.69	0.56	0.54			0.92	0.84
AHCY	0.68	0.38	0.32	0.55	0.24		0.16	0.65	0.18	0.35	0.22			2.08	2.08
AHCYL1	0.38	0.64	0.24	0.06	0.21		0.16	0.07	0.06	0.1	0.14			3.22	3.83
AHR	0.24	0.16	0.69	0.34	0.53		0.67	0.4	0.84	0.59	0.76			2.15	1.91
AHSA1	0.85	0.7	0.29	0.14	0.55		0.41	0.52	0.18	0.16	0.17			5.09	5.7
AHSG	0.31	0.71	0.39	0.51	1		0.92	0.79	0.91	0.91	0.64			0.59	0.61
AICDA	0.87	0.59	0.86	0.91			0.94	0.79	0.86	0.78	 				
AIF1	0.55	0.18	0.09	0.02	0.37		0.05	0.04	0.07	0.08	0.1			2.78	1.77
AIG1	0.23	0.88	 	0.47	1		0.74	0.9		0.9	0.98				
AIM1L	0.3	 	0.57	0.77	 		0.26	0.55	0.66	0.73	0.42			0.91	0.93
AIM2	0.92	0.82	0.15	0	0		0.06	0	0	0	0.02			3.5	2.93
AIP	0.87	0.65	0.17	0.64	0.36		0.83	0.83	0.45	0.24	0.42			3.79	3.59
AIPL1	0.03	0.05	0.39	0.22	0.19		0.16	0.04	0.11	0.48	0.02			0.98	1.04
AIRE	0.45	0.71	0.45	0.92	0.27		0.51	0.55	0.37	0.87	0.43			0.85	0.95
AK1	0.35	0.06	0.98	0.93	0.34		0.34	0.26	0.82	0.78	0.64			0.86	0.76
AK2	0.95	0.73	0.61	0.61	0.73		0.43	0.91	0.19	0.29	0.82			2.79	2.66
AKAP1	0.08	0.62	0.36	0.67	0.2		0.44	0.47	0.79	0.7	0.55			1.2	1.64
AKAP10	0.96	0.57	0.12	0.07	0.69		0.43	0.37	0.08	0.09	0.16			5	3.83
AKAP11	0.21	0.08	0.35	0.27	0.97		0.42	0.76	0.86	0.83	0.62			0.97	0.94
AKAP12	0.03	0.32	0.65	0.15	0.78		0.25	0.24	0.67	0.58	0.55			0.95	0.88
AKAP2	0.24	0.24	0.48	0.15	0.51		0.3	0.21	0.63	0.48	0.83			0.86	0.76
AKAP4	0.53	0.46	0.86	0.86	0.94		0.66	0.65	0.73	0.87	0.79			0.57	0.57
AKAP5	0.97	0.97	0.86	0.98	0.56		0.88	0.85	0.79	0.86	0.86			0.72	0.73
AKAP6	0.3	0.59	0.7	0.82	0.73		0.63	0.27	0.61	0.81	0.76			0.63	0.55
AKAP7	0.95	0.87	0.97	0.99	0.99		0.99	0.98	0.96	0.95	1			0.93	0.72
AKAP8	0.59	0.57	0.16	0.16	0.24		0.51	0.2	0.37	0.2	0.3			2.91	2.76
AKAP8L	0.99	0.81	0.19	0.62	0.57		0.42	0.76	0.71	0.32	0.62			3.78	3.79
AKAP9	0.86	0.64	0.61	0.4	0.27		0.7	0.55	0.32	0.26	0.33			2.65	2.07
AKNA	0.09	0.11	0.53	0.42	0.67		0.15	0.35	0.29	0.45	0.17			1.45	1.08
AKR1A1	0.06	0.01	0.06	0.26	0.2		0.18	0.06	0.13	0.62	0.03			1.15	1.12
AKR1B1	0.4	0.59	0.88	0.77	0.32		0.84	0.78	0.66	0.66	 				
AKR1B10	0.22	0.11	0.24	0.51	0.23		0.36	0.23	0.26	0.68	0.17			0.96	0.93
AKR1C1	0.7	0.92	0.88	0.8	0.51		0.9	0.42	0.61	0.78	0.84			0.73	0.62
AKR1C2	0.9	0.95	0.65	0.8	1		0.76	0.71	0.75	0.7	0.79			0.73	0.67
AKR1C3	0.78	0.97	0.97	0.92	0.31		0.87	0.79	0.67	0.91	0.9			1.26	1.09
AKR1C4	0.92	0.94	0.88	0.82	0.97		0.95	0.68	0.95	0.88	0.98			0.54	0.53
AKR1CL2	0.01	0.14	0.14	0.06	0.14		0.54	0.1	0.34	0.37	0.31			1.35	1.54
AKR1D1	0.23	0.43	0.41	0.02	0.13		0.1	0.14	0.29	0.04	0.14			0.74	0.75
AKR7A2	0.14	0.27	0.68	0.04	0.83		0.11	0.05	0.61	0.29	0.64			0.81	1
AKR7A3	0.56	0.45	0.17	0.53	0.41		0.55	0.76	0.69	0.83	0.25			0.94	0.86
AKT1	0.7	0.49	0.16	0.52	0.16		0.64	0.81	0.69	0.49	0.19			1.56	1.51
AKT2	0.45	0.77	 	0.62			0.7	0.41		0.59	 				
AKT3	0.18	0.01	0.16	0.67	1		0.63	0.43	0.82	0.7	0.45			0.95	1.01
ALAD	0.18	0.23	0.27	0.39	0.17		0.38	0.07	0.33	0.55	0.17			0.87	1.01
ALAS1	0.58	0.49	0.13	0	0		0.01	0.1	0	0	0			2.97	3.68
ALB	0.99	0.97	1	0.98	1		0.97	0.79	0.93	0.98	0.99			0.59	0.49
ALCAM	0.53	0.57	0.48	0.14	0.5		0.04	0.11	0.11	0.11	0.12			1.95	3.96
ALDH18A1	0.81	0.71	0.45	0.28	0.19		0.52	0.25	0.48	0.36	0.56			2.44	1.54
ALDH1A1	0.52	0.68	0.9	0.8	0.7		0.83	0.65	0.75	0.88	0.81			0.68	0.61
